all_data	field_site	chimp_group	subject	 subject_no	subject_sex	subject_age	subject_age_class	subject_dob	subject_rank	caregiver_no	date_survey	year_survey	general_risk	food_risk	snake_risk	escape_risk	hierarchy_risk	strangers_risk	total_risk	ranking_risk
197	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver5	08.12.18	2018	1	1	0	0	1	0	0.5	16
198	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver5	08.12.18	2018	4	3	2	4	2	4	3.166666667	48
199	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver5	08.12.18	2018	0	1	0	0	1	2	0.666666667	21
200	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver5	08.12.18	2018	2	2	1	0	2	3	1.666666667	25
201	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver5	08.12.18	2018	1	1	0	0	1	3	1	15
202	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver5	08.12.18	2018	2	1	1	2	1	0	1.166666667	10
203	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver5	08.12.18	2018	1	1	2	0	1	4	1.5	14
204	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver5	08.12.18	2018	2	3	1	0	3	3	2	24
205	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver5	08.12.18	2018	2	1	0	0	1	2	1	6
206	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver5	08.12.18	2018	1	1	2	0	1	2	1.166666667	5
207	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver5	08.12.18	2018	3	2	0	0	1	3	1.5	9
208	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver5	08.12.18	2018	1	1	0	0	0	4	1	1
209	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver5	08.12.18	2018	2	2	1	2	1	1	1.5	32
210	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver5	08.12.18	2018	3	3	4	0	0	1	1.833333333	29
211	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver5	08.12.18	2018	2	3	1	1	3	3	2.166666667	36
212	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver5	08.12.18	2018	3	4	2	4	4	2	3.166666667	44
213	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver5	08.12.18	2018	4	2	1	4	2	1	2.333333333	46
214	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver5	08.12.18	2018	2	2	1	0	1	0	1	20
215	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver5	08.12.18	2018	4	3	1	1	3	1	2.166666667	27
216	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver5	08.12.18	2018	4	3	1	4	3	3	3	45
217	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver5	08.12.18	2018	1	2	1	0	2	0	1	34
218	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver5	08.12.18	2018	3	3	2	1	3	0	2	17
219	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver5	08.12.18	2018	1	3	2	0	2	0	1.333333333	33
220	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver5	08.12.18	2018	4	2	2	4	2	4	3	49
221	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver5	08.12.18	2018	1	1	1	0	1	4	1.333333333	3
222	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver5	08.12.18	2018	4	3	2	4	3	1	2.833333333	40
223	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver5	08.12.18	2018	2	1	2	0	2	0	1.166666667	7
224	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver5	08.12.18	2018	2	1	1	0	1	0	0.833333333	22
225	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver5	08.12.18	2018	0	1	1	0	0	3	0.833333333	12
226	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver5	08.12.18	2018	1	1	0	0	1	4	1.166666667	13
227	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver5	08.12.18	2018	1	1	0	0	1	4	1.166666667	4
228	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver5	08.12.18	2018	4	3	2	0	3	0	2	41
229	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver5	08.12.18	2018	1	1	0	0	2	1	0.833333333	18
230	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver5	08.12.18	2018	2	2	1	0	1	3	1.5	35
231	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver5	08.12.18	2018	4	3	2	0	3	1	2.166666667	37
232	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver5	08.12.18	2018	4	2	2	4	1	4	2.833333333	47
233	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver5	08.12.18	2018	2	1	1	0	1	0	0.833333333	19
234	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver5	08.12.18	2018	1	1	1	0	1	3	1.166666667	8
235	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver5	08.12.18	2018	2	3	2	0	2	0	1.5	28
236	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver5	08.12.18	2018	1	2	1	1	2	0	1.166666667	2
237	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver5	08.12.18	2018	2	1	1	0	1	2	1.166666667	30
238	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver5	08.12.18	2018	2	1	1	0	2	1	1.166666667	11
239	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver5	08.12.18	2018	4	2	1	2	1	4	2.333333333	38
240	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver5	08.12.18	2018	3	2	1	4	2	1	2.166666667	39
241	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver5	08.12.18	2018	2	1	1	2	1	0	1.166666667	42
242	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver5	08.12.18	2018	2	3	1	2	2	0	1.666666667	31
243	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver5	08.12.18	2018	2	2	1	0	2	0	1.166666667	26
244	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver5	08.12.18	2018	2	3	2	3	3	3	2.666666667	43
245	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver5	08.12.18	2018	3	2	1	4	1	4	2.5	23
246	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver6	11.12.18	2018	1	1	0	0	1	0	0.5	11
247	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver6	11.12.18	2018	2	3	2	4	3	4	3	48
248	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver6	11.12.18	2018	1	1	0	0	1	0	0.5	22
249	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver6	11.12.18	2018	2	2	1	0	2	3	1.666666667	25
250	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver6	11.12.18	2018	1	1	0	0	1	2	0.833333333	17
251	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver6	11.12.18	2018	2	2	1	0	2	2	1.5	10
252	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver6	11.12.18	2018	1	1	0	0	1	4	1.166666667	15
253	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver6	11.12.18	2018	3	3	1	0	4	3	2.333333333	24
254	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver6	11.12.18	2018	0	1	0	0	0	0	0.166666667	6
255	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver6	11.12.18	2018	0	1	0	0	0	1	0.333333333	3
256	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver6	11.12.18	2018	2	1	0	0	2	3	1.333333333	8
257	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver6	11.12.18	2018	1	1	0	0	0	4	1	2
258	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver6	11.12.18	2018	1	3	1	0	3	0	1.333333333	32
259	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver6	11.12.18	2018	2	2	0	0	1	2	1.166666667	31
260	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver6	11.12.18	2018	2	3	3	0	3	3	2.333333333	36
261	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver6	11.12.18	2018	4	4	2	4	3	1	3	44
262	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver6	11.12.18	2018	3	2	1	4	2	0	2	46
263	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver6	11.12.18	2018	1	1	0	0	1	2	0.833333333	19
264	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver6	11.12.18	2018	2	3	1	0	3	2	1.833333333	27
265	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver6	11.12.18	2018	2	3	1	4	4	3	2.833333333	45
266	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver6	11.12.18	2018	3	2	2	0	2	0	1.5	34
267	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver6	11.12.18	2018	1	1	0	0	1	0	0.5	16
268	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver6	11.12.18	2018	3	3	2	1	3	0	2	33
269	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver6	11.12.18	2018	2	3	0	4	2	3	2.333333333	49
270	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver6	11.12.18	2018	1	1	0	0	0	3	0.833333333	4
271	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver6	11.12.18	2018	3	4	1	3	4	1	2.666666667	40
272	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver6	11.12.18	2018	1	1	0	3	1	2	1.333333333	5
273	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver6	11.12.18	2018	2	2	0	0	2	1	1.166666667	21
274	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver6	11.12.18	2018	1	1	0	0	1	1	0.666666667	12
275	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver6	11.12.18	2018	1	1	0	0	1	3	1	14
276	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver6	11.12.18	2018	1	1	0	0	1	2	0.833333333	13
277	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver6	11.12.18	2018	3	3	2	0	4	0	2	41
278	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver6	11.12.18	2018	1	1	0	0	1	0	0.5	18
279	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver6	11.12.18	2018	1	1	0	0	2	3	1.166666667	35
280	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver6	11.12.18	2018	3	4	1	0	4	3	2.5	37
281	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver6	11.12.18	2018	3	1	2	4	1	4	2.5	47
282	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver6	11.12.18	2018	2	2	0	0	1	0	0.833333333	20
283	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver6	11.12.18	2018	0	1	0	0	1	1	0.5	7
284	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver6	11.12.18	2018	4	4	1	0	3	0	2	30
285	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver6	11.12.18	2018	0	1	0	0	0	0	0.166666667	1
286	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver6	11.12.18	2018	0	1	0	0	1	1	0.5	28
287	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver6	11.12.18	2018	1	1	0	0	1	2	0.833333333	9
288	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver6	11.12.18	2018	1	1	0	3	1	3	1.5	38
289	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver6	11.12.18	2018	1	3	1	0	3	0	1.333333333	39
290	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver6	11.12.18	2018	3	2	3	2	2	0	2	42
291	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver6	11.12.18	2018	3	3	1	2	3	1	2.166666667	29
292	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver6	11.12.18	2018	2	2	1	0	2	0	1.166666667	26
293	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver6	11.12.18	2018	4	4	2	3	4	1	3	43
294	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver6	11.12.18	2018	2	1	0	2	1	2	1.333333333	23
295	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver7	12.12.18	2018	2	3	1	0	2	3	1.833333333	26
296	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver7	12.12.18	2018	3	3	2	4	3	1	2.666666667	47
297	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver7	12.12.18	2018	3	3	1	0	2	1	1.666666667	6
298	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver7	12.12.18	2018	4	4	1	0	3	1	2.166666667	48
299	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver7	12.12.18	2018	3	3	1	0	3	1	1.833333333	28
300	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver7	12.12.18	2018	2	2	0	1	2	2	1.5	33
301	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver7	12.12.18	2018	2	2	3	0	1	4	2	13
302	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver7	12.12.18	2018	3	3	2	0	4	3	2.5	41
303	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver7	12.12.18	2018	2	3	1	0	2	1	1.5	18
304	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver7	12.12.18	2018	1	2	1	2	1	2	1.5	1
305	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver7	12.12.18	2018	2	2	1	0		1	1.2	5
306	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver7	12.12.18	2018	3	2	0	0	1	4	1.666666667	4
307	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver7	12.12.18	2018	3	4	1	2	2	1	2.166666667	35
308	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver7	12.12.18	2018	3	3	1	0	3	1	1.833333333	9
309	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver7	12.12.18	2018	3	3	1	0	4	1	2	27
310	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver7	12.12.18	2018	3	4	2	3	4	1	2.833333333	45
311	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver7	12.12.18	2018	3	4	2	4	3	2	3	37
312	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver7	12.12.18	2018	2	3	1	0	2	1	1.5	15
313	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver7	12.12.18	2018	2	3	1	0	4	0	1.666666667	11
314	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver7	12.12.18	2018	3	3	2	3	4	1	2.666666667	43
315	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver7	12.12.18	2018	3	3	1	0	3	0	1.666666667	19
316	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver7	12.12.18	2018	3	4	2	2	3	1	2.5	
317	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver7	12.12.18	2018	2	3	1	1	3	1	1.833333333	36
318	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver7	12.12.18	2018	3	3	2	4	3	2	2.833333333	46
319	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver7	12.12.18	2018	2	3	1	2	1	3	2	10
320	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver7	12.12.18	2018	3	4	1	2	4	1	2.5	22
321	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver7	12.12.18	2018	3	4	1	1	3	1	2.166666667	20
322	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver7	12.12.18	2018	3	3	1	0	3	0	1.666666667	17
323	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver7	12.12.18	2018	2	2	1	0	1	2	1.333333333	2
324	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver7	12.12.18	2018	2	2	1	0	3	2	1.666666667	12
325	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver7	12.12.18	2018	2	3	1	0	2	2	1.666666667	24
326	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver7	12.12.18	2018	3	4	1	0	3	1	2	39
327	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver7	12.12.18	2018	3	3	1	1	2	1	1.833333333	16
328	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver7	12.12.18	2018	3	3	1	0	2	1	1.666666667	21
329	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver7	12.12.18	2018	4	3	2	1	4	1	2.5	49
330	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver7	12.12.18	2018	3	3	1	4	3	3	2.833333333	40
331	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver7	12.12.18	2018	2	3	1	0	3	1	1.666666667	3
332	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver7	12.12.18	2018	3	3	2	0	3	2	2.166666667	42
333	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver7	12.12.18	2018	3	4	1	0	3	1	2	29
334	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver7	12.12.18	2018	3	3	0	0	1	0	1.166666667	31
335	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver7	12.12.18	2018	3	3	1	0	2	1	1.666666667	7
336	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver7	12.12.18	2018	2	3	1	0	2	1	1.5	23
337	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver7	12.12.18	2018	3	4	3	2	2	2	2.666666667	30
338	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver7	12.12.18	2018	2	3	1	2	3	2	2.166666667	14
339	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver7	12.12.18	2018	3	3	2	1	2	1	2	8
340	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver7	12.12.18	2018	3	4	1	2	3	1	2.333333333	25
341	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver7	12.12.18	2018	3	4	1	3	2	1	2.333333333	44
342	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver7	12.12.18	2018	2	3	2	3	4	1	2.5	34
343	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver7	12.12.18	2018	3	3	2	2	2	1	2.166666667	32
344	kenya	young_chimps	akela	subject50	female	32	adult	1988	8.333333333	caregiver8	06.03.20	2020	3	4	0	2	3	0	2	13
345	kenya	old_chimps	alikaka	subject51	male	18	young_adult	2002	1	caregiver8	06.03.20	2020	4	4	2	4	4	3	3.5	20
346	kenya	old_chimps	alley	subject52	female	33	adult	1987	11.33333333	caregiver8	06.03.20	2020	4	4	1	4	3	2	3	14
347	kenya	old_chimps	amahirwe	subject53	male	22	adult	1998	4	caregiver8	06.03.20	2020	3	4	0	3	4	1	2.5	19
348	kenya	young_chimps	amizero	subject54	female	31	adult	1989	5.333333333	caregiver8	06.03.20	2020	1	4	0	2	3	2	2	4
349	kenya	young_chimps	bahatib	subject55	female	27	adult	1993	13	caregiver8	06.03.20	2020	1	4	0	4	3	2	2.333333333	9
350	kenya	young_chimps	bela	subject56	female	6	juvenile	2014	14.66666667	caregiver8	06.03.20	2020	1	4	0	2	2	4	2.166666667	2
351	kenya	young_chimps	bow	subject57	female	8	juvenile	2012	17	caregiver8	06.03.20	2020	0	1	0	0	0	1	0.333333333	1
352	kenya	old_chimps	cheetah	subject58	female	33	adult	1987	13.66666667	caregiver8	06.03.20	2020	2	4	0	2	2	3	2.166666667	11
353	kenya	young_chimps	chipie	subject59	female	29	adult	1991	14	caregiver8	06.03.20	2020	0	1	0	0	1	1	0.5	3
354	kenya	young_chimps	dufatanya	subject60	female	29	adult	1991	10	caregiver8	06.03.20	2020	3	4	1	3	4	2	2.833333333	5
355	kenya	old_chimps	edvard	subject61	male	20	young_adult	2000	3	caregiver8	06.03.20	2020	3	4	0	3	4	3	2.833333333	18
356	kenya	old_chimps	george	subject62	male	17	young_adult	2003	2	caregiver8	06.03.20	2020	3	4	0	2	4	2	2.5	15
357	kenya	young_chimps	jane	subject63	female	16	young_adult	2004	12.33333333	caregiver8	06.03.20	2020	2	3	1	3	4	1	2.333333333	10
358	kenya	old_chimps	jobo	subject64	male	2	infant	2018	20	caregiver8	06.03.20	2020	0	1	0	0	0	4	0.833333333	7
359	kenya	young_chimps	joy	subject65	female	16	young_adult	2004	10	caregiver8	06.03.20	2020	4	4	0	3	4	4	3.166666667	11
360	kenya	old_chimps	judy	subject66	female	37	adult	1983	13	caregiver8	06.03.20	2020	0	2	0	0	2	2	1	1
361	kenya	old_chimps	julia	subject67	female	20	young_adult	2000	17.33333333	caregiver8	06.03.20	2020	2	3	0	2	3	2	2	5
362	kenya	young_chimps	kisa	subject68	male	27	adult	1993	4	caregiver8	06.03.20	2020	3	4	0	3	3	0	2.166666667	14
363	kenya	young_chimps	manno	subject69	male	7	juvenile	2013	16	caregiver8	06.03.20	2020	2	3	0	2	3	4	2.333333333	8
364	kenya	old_chimps	mary	subject70	female	17	young_adult	2003	7	caregiver8	06.03.20	2020	3	4	0	3	3	0	2.166666667	16
365	kenya	old_chimps	max	subject71	male	32	adult	1988	12	caregiver8	06.03.20	2020	3	4	0	3	2	4	2.666666667	3
366	kenya	old_chimps	mwanzo	subject72	female	24	adult	1996	10.66666667	caregiver8	06.03.20	2020	1	4	0	3	3	0	1.833333333	12
367	kenya	young_chimps	niyonkuru	subject73	male	30	adult	1990	2.333333333	caregiver8	06.03.20	2020	3	4	0	3	4	3	2.833333333	17
368	kenya	old_chimps	oscar	subject74	male	23	adult	1997	7	caregiver8	06.03.20	2020	2	4	0	NA	1	2	1.8	10
369	kenya	old_chimps	pasaka	subject75	male	2	infant	2018	19	caregiver8	06.03.20	2020	2	2	0	0	0	0	0.666666667	6
370	kenya	old_chimps	poco	subject76	male	40	adult	1980	14.33333333	caregiver8	06.03.20	2020	0	2	0	0	1	2	0.833333333	4
371	kenya	young_chimps	romeo	subject77	male	16	young_adult	2004	8.333333333	caregiver8	06.03.20	2020	2	3	0	0	0	2	1.166666667	7
372	kenya	young_chimps	roy 	subject78	male	13	adolescent	2007	2.666666667	caregiver8	06.03.20	2020	3	4	0	3	4	2	2.666666667	15
373	kenya	old_chimps	safari	subject79	male	36	adult	1984	6.666666667	caregiver8	06.03.20	2020	2	3	0	3	1	2	1.833333333	13
374	kenya	old_chimps	saidia	subject80	female	17	young_adult	2003	16.66666667	caregiver8	06.03.20	2020	2	3	0	2	3	2	2	9
375	kenya	old_chimps	socrates	subject81	male	40	adult	1980	9.333333333	caregiver8	06.03.20	2020	2	3	0	0	0	1	1	8
376	kenya	old_chimps	sultana	subject82	female	35	adult	1985	14.33333333	caregiver8	06.03.20	2020	0	2	0	0	1	2	0.833333333	2
377	kenya	young_chimps	tess	subject83	female	28	adult	1992	8.333333333	caregiver8	06.03.20	2020	3	4	0	0	3	2	2	6
378	kenya	young_chimps	uruhara	subject84	male	31	adult	1989	5.666666667	caregiver8	06.03.20	2020	2	4	0	3	2	3	2.333333333	12
379	kenya	young_chimps	william	subject85	male	20	young_adult	2000	1	caregiver8	06.03.20	2020	3	4	0	3	4	1	2.5	16
380	kenya	old_chimps	zee	subject86	male	20	young_adult	2000	7.666666667	caregiver8	06.03.20	2020	3	4	0	3	3	2	2.5	17
381	kenya	young_chimps	akela	subject50	female	32	adult	1988	8.333333333	caregiver9	16.02.20	2020	4	4	4	2	3	4	3.5	10
382	kenya	old_chimps	alikaka	subject51	male	18	young_adult	2002	1	caregiver9	16.02.20	2020	4	4	4	4	4	4	4	20
383	kenya	old_chimps	alley	subject52	female	33	adult	1987	11.33333333	caregiver9	16.02.20	2020	4	4	4	4	4	4	4	16
384	kenya	old_chimps	amahirwe	subject53	male	22	adult	1998	4	caregiver9	16.02.20	2020	4	4	4	3	4	3	3.666666667	18
385	kenya	young_chimps	amizero	subject54	female	31	adult	1989	5.333333333	caregiver9	16.02.20	2020	4	4	4	3	4	4	3.833333333	13
386	kenya	young_chimps	bahatib	subject55	female	27	adult	1993	13	caregiver9	16.02.20	2020	3	4	3	2	2	3	2.833333333	4
387	kenya	young_chimps	bela	subject56	female	6	juvenile	2014	14.66666667	caregiver9	16.02.20	2020	4	4	4	0	3	4	3.166666667	6
388	kenya	young_chimps	bow	subject57	female	8	juvenile	2012	17	caregiver9	16.02.20	2020	0	3	3	0	0	0	1	1
389	kenya	old_chimps	cheetah	subject58	female	33	adult	1987	13.66666667	caregiver9	16.02.20	2020	4	4	3	2	3	4	3.333333333	8
390	kenya	young_chimps	chipie	subject59	female	29	adult	1991	14	caregiver9	16.02.20	2020	3	2	3	0	1	0	1.5	3
391	kenya	young_chimps	dufatanya	subject60	female	29	adult	1991	10	caregiver9	16.02.20	2020	4	4	4	4	3	4	3.833333333	9
392	kenya	old_chimps	edvard	subject61	male	20	young_adult	2000	3	caregiver9	16.02.20	2020	4	3	3	3	3	3	3.166666667	17
393	kenya	old_chimps	george	subject62	male	17	young_adult	2003	2	caregiver9	16.02.20	2020	4	4	4	2	4	3	3.5	19
394	kenya	young_chimps	jane	subject63	female	16	young_adult	2004	12.33333333	caregiver9	16.02.20	2020	3	3	NA	0	1	2	1.8	5
395	kenya	old_chimps	jobo	subject64	male	2	infant	2018	20	caregiver9	16.02.20	2020	4	4	0	0	1	2	1.833333333	4
